"bill_id","status","title","link_id","proposer_type","proposed_date","decision_date","decision_result","has_summaries","status_detail"
"1904354","1","부동산소유권 이전등기 등에 관한 특별조치법안(유승우의원 등 12인)","PRC_E1X3L0N4K0V1T1T7M3X9S5Q0J3Y0I6","의원","2013-04-01","","","0","소관위접수"
"1904355","1","사회복지사업법 일부개정법률안(유재중의원 등 10인)","PRC_P1Q3L0L4Y0A1Y1Z7P4Y6K0B7B4K8Y4","의원","2013-04-01","","","1","소관위접수"
"1904356","1","농어업경영체 육성 및 지원에 관한 법률 일부개정법률안(윤명희의원 등 10인)","PRC_S1V3Z0Z4U0G1B1Z7J5J2H1Y7C6Y0B4","의원","2013-04-01","","","1","소관위접수"
"1904357","1","청년고용촉진 특별법 일부개정법률안(문대성의원 등 14인)","PRC_B1L3R0S4T0B2R1B3F3N2W2L6O3E2W2","의원","2013-04-02","","","1","소관위접수"
"1904358","1","녹색기후기금의 설립 및 운영지원에 관한 법률안(황우여의원 등 13인)","PRC_U1G3X0E4L0C2A1D3B3D6B2Y8D2I5A8","의원","2013-04-02","","","1","소관위접수"
"1904359","1","보금자리주택건설 등에 관한 특별법 일부개정법률안(최재성의원 등 12인)","PRC_V1I3F0H4H0F2Q1F4J4O5C5E5U1S2P3","의원","2013-04-02","","","1","소관위접수"
"1904360","1","소방공무원법 전부개정법률안(이재오의원 등 25인)","PRC_H1I3B0H4H0K2T1C5Y0J6U0A5D5P1H5","의원","2013-04-02","","","1","소관위접수"
"1904361","1","정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안(이노근의원 등 10인...","PRC_Z1S3F0Q4P0K2U1N7C0X3V2W7Y4F8L6","의원","2013-04-02","","","1","소관위접수"
"1904362","1","근로기준법 일부개정법률안(김성태의원 등 10인)","PRC_A1B3U0C4L0G2W1P7R2P4R1Q9K0M7P2","의원","2013-04-02","","","1","소관위접수"
"1904363","1","녹색기후기금의 설립 및 운영 지원에 관한 법률안(이학재의원 등 16인)","PRC_G1L3W0A4Q0M2Y1E7P4Q2K0G8F0S7L6","의원","2013-04-02","","","1","소관위접수"
"1904364","1","중증장애인생산품 우선구매 특별법 일부개정법률안(박대동의원 등 10인)","PRC_O1N3G0A4X0R3V0B9P2Z2Y4W5X4S2Z3","의원","2013-04-03","","","1","소관위접수"
"1904365","1","지방세기본법 일부개정법률안(김기선의원 등 11인)","PRC_I1Q3H0P4Z0D3P1T1F2B1R5C7J8I6V6","의원","2013-04-03","","","1","소관위접수"
"1904366","1","자동차관리법 일부개정법률안(김한표의원 등 14인)","PRC_H1U3B0Q4M0Q3O1T1Y3W3H4R7K8K6T0","의원","2013-04-03","","","1","소관위접수"
"1904367","1","유해화학물질 관리법 일부개정법률안(노영민의원 등 10인)","PRC_A1M3T0E4W0W3F1I4X1G3D0B6X7Y0S2","의원","2013-04-03","","","1","소관위접수"
"1904368","1","법인세법 일부개정법률안(홍종학의원 등 15인)","PRC_J1U3E0P4S0P3I1P4F4M8L5N2B0L2D0","의원","2013-04-03","","","1","소관위접수"
"1904369","1","자동차관리법 일부개정법률안(이이재의원 등 11인)","PRC_P1H3U0C4C0J3X1P5A4K9J1E3S3H3T0","의원","2013-04-03","","","1","소관위접수"
"1904370","1","근로기준법 일부개정법률안(한정애의원 등 18인)","PRC_L1T3K0P4A0Q3Q1E7W5T6B0O4V8W9D8","의원","2013-04-03","","","1","소관위접수"
"1904371","1","하도급거래 공정화에 관한 법률 일부개정법률안(강창일의원 등 10인)","PRC_W1N3B0P4V0G4O1F0X4Y1D2C8Y1P2T8","의원","2013-04-04","","","1","소관위접수"
"1904372","1","독점규제 및 공정거래에 관한 법률 일부개정법률안(강창일의원 등 10인)","PRC_Q1Q3F0R4N0P4H1F0L4B3G2A5M6R5S2","의원","2013-04-04","","","1","소관위접수"
"1904373","1","약사법 일부개정법률안(안홍준의원 등 10인)","PRC_F1I3N0Q4A0A4U1A0A4T6U1S3A1Z3C4","의원","2013-04-04","","","1","소관위접수"
"1904374","1","국제개발협력기본법 일부개정법률안(안홍준의원 등 10인)","PRC_N1S3U0Y4M0P4M1S0E4P7T5Y2H4V1U6","의원","2013-04-04","","","1","소관위접수"
"1904375","1","국민건강보험법 일부개정법률안(안홍준의원 등 10인)","PRC_J1L3Z0S4Z0I4J1Z1U0B4T0A4A9V7A8","의원","2013-04-04","","","1","소관위접수"
"1904376","1","근로기준법 일부개정법률안(오제세의원 등 10인)","PRC_G1C3P0Y4K0A4M1A1I3O3V1A6K8S0I2","의원","2013-04-04","","","1","소관위접수"
"1904377","1","국가재정법 일부개정법률안(오제세의원 등 13인)","PRC_V1J3U0M4P0U4V1N1W3H7V3F8Q6Z4O8","의원","2013-04-04","","","1","소관위접수"
"1904378","1","지방세특례제한법 일부개정법률안(정성호의원 등 10인)","PRC_D1P3Y0M4A0B4F1J3D5Z0W3Z9J5D8Y7","의원","2013-04-04","","","1","소관위접수"
"1904379","1","주한미군 공여구역주변지역 등 지원 특별법 일부개정법률안(정성호의원 등 10인)","PRC_C1D3G0P4A0Y4M1W3E5M3E1E4A2M9I2","의원","2013-04-04","","","1","소관위접수"
"1904380","1","정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안(강은희의원 등 12인...","PRC_U1L3U0K4I0Q4D1J3I5X9Q2Y6X8N6I5","의원","2013-04-04","","","1","소관위접수"
"1904381","1","청소년 보호법 일부개정법률안(강은희의원 등 10인)","PRC_H1T3F0B4G0K4V1C4G0K5O3I5F6N2A2","의원","2013-04-04","","","1","소관위접수"
"1904382","1","사면법 일부개정법률안(김광진의원 등 10인)","PRC_G1M3X0R4E0L4S1F4C2Z1P3S0Q7H0O5","의원","2013-04-04","","","1","소관위접수"
"1904383","1","민방위기본법 일부개정법률안(김광진의원 등 10인)","PRC_T1N3R0L4H0B4W1M4T2P2P4G5E6P2P4","의원","2013-04-04","","","1","소관위접수"
"1904384","1","공직선거법 일부개정법률안(김광진의원 등 10인)","PRC_F1R3F0E4O0M4I1X4N2W3C3U3Z2H1I9","의원","2013-04-04","","","1","소관위접수"
